PMU_SegArb_ExampleB,VMeasCh1,IMeasCh1,VMeasCh2,IMeasCh2,TimeOutput,StatusCh1,StatusCh2,G,R,R_AV
,1.9977E+0,206.6171E-9,95.8752E-3,5.7702E-6,104.8300E-6,,,60.1850E-6,16.6154E+3,
,2.0006E+0,345.0413E-9,101.7184E-3,5.2207E-6,104.8350E-6,,,51.3255E-6,19.4835E+3,
,2.0049E+0,209.6020E-9,98.7968E-3,4.8098E-6,104.8400E-6,,,48.6842E-6,20.5406E+3,
,1.9977E+0,1.0300E-6,100.2576E-3,5.9067E-6,104.8450E-6,,,58.9148E-6,16.9737E+3,
,1.9934E+0,1.0282E-6,103.1792E-3,6.1804E-6,104.8500E-6,,,59.9000E-6,16.6945E+3,
,1.9906E+0,340.8622E-9,101.7184E-3,5.7693E-6,104.8550E-6,,,56.7181E-6,17.6310E+3,
,2.0006E+0,-341.1093E-9,103.1792E-3,5.4948E-6,104.8600E-6,,,53.2547E-6,18.7777E+3,
,1.9977E+0,206.6171E-9,104.6400E-3,6.4545E-6,104.8650E-6,,,61.6825E-6,16.2121E+3,
,1.9949E+0,754.3437E-9,103.1792E-3,6.3176E-6,104.8700E-6,,,61.2291E-6,16.3321E+3,
,2.0035E+0,895.1556E-9,97.3359E-3,6.7299E-6,104.8750E-6,,,69.1413E-6,14.4631E+3,
,1.9934E+0,890.9765E-9,101.7184E-3,5.6321E-6,104.8800E-6,,,55.3700E-6,18.0603E+3,
,2.0035E+0,895.1556E-9,106.1008E-3,6.0428E-6,104.8850E-6,,,56.9535E-6,17.5582E+3,
,2.0064E+0,1.4453E-6,103.1792E-3,6.3176E-6,104.8900E-6,,,61.2291E-6,16.3321E+3,
,1.9934E+0,1.5771E-6,100.2576E-3,5.6324E-6,104.8950E-6,,,56.1792E-6,17.8002E+3,
,1.9977E+0,1.1672E-6,103.1792E-3,5.0834E-6,104.9000E-6,,,49.2675E-6,20.2974E+3,
,2.0006E+0,756.7314E-9,106.1008E-3,5.7685E-6,104.9050E-6,,,54.3686E-6,18.3930E+3,
,1.9963E+0,1.0294E-6,103.1792E-3,5.7690E-6,104.9100E-6,,,55.9128E-6,17.8850E+3,
,1.9949E+0,479.8835E-9,98.7968E-3,5.4955E-6,104.9150E-6,,,55.6243E-6,17.9778E+3,
,2.0092E+0,211.3931E-9,103.1792E-3,4.9462E-6,104.9200E-6,,,47.9384E-6,20.8601E+3,
,2.0049E+0,346.8321E-9,98.7968E-3,5.3584E-6,104.9250E-6,,,54.2363E-6,18.4379E+3,
,1.9949E+0,205.4232E-9,101.7184E-3,5.3579E-6,104.9300E-6,,,52.6737E-6,18.9848E+3,
,1.9977E+0,-342.3034E-9,104.6400E-3,5.3574E-6,104.9350E-6,,,51.1984E-6,19.5319E+3,
,2.0078E+0,-338.1244E-9,101.7184E-3,3.9866E-6,104.9400E-6,,,39.1921E-6,25.5153E+3,
,1.9963E+0,68.7899E-9,103.1792E-3,3.9863E-6,104.9450E-6,,,38.6349E-6,25.8833E+3,
,1.9949E+0,1.0288E-6,101.7184E-3,3.9866E-6,104.9500E-6,,,39.1921E-6,25.5153E+3,
,2.0035E+0,895.1556E-9,98.7968E-3,3.4385E-6,104.9550E-6,,,34.8039E-6,28.7324E+3,
,1.9977E+0,-67.8432E-9,101.7184E-3,3.4380E-6,104.9600E-6,,,33.7995E-6,29.5862E+3,
,2.0035E+0,346.2351E-9,101.7184E-3,4.2608E-6,104.9650E-6,,,41.8884E-6,23.8729E+3,
